lsoa21cd,lad22nm,area_km2,x_km,y_km,bike_theft_count,bike_density_km2,extreme_hotspot,cycle_parking_locs,cycle_parking_capacity,cycle_parking_locs_km2,cycle_parking_capacity_km2,town_centre_area_km2,town_centre_share,town_centre_pieces
E01000011,Barking and Dagenham,0.091632281525469,544.3842479888233,184.73845208677542,2.0,21.826369121280738,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000046,Barking and Dagenham,0.1554940336034136,547.1264365563007,184.08981595374308,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000051,Barking and Dagenham,0.06663249489927803,544.5241937661367,183.76402972159318,1.0,15.007692590703746,0,3.0,16.0,45.023077772111236,240.12308145125994,0.0,0.0,0.0
E01000077,Barking and Dagenham,0.17382458599047781,547.4931230211304,185.55555871485032,1.0,5.7529261140008146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000083,Barking and Dagenham,0.17994298366349035,547.6549430203962,185.99321353524098,2.0,11.114631753245689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01032580,Barking and Dagenham,0.12788475389183276,547.1876590258146,186.92476145845075,2.0,15.639080806236185,0,7.0,36.0,54.736782821826644,281.5034545122513,0.01906578297435531,0.1490856602850524,1.0
E01034472,Barking and Dagenham,0.04747214939725127,546.3462598798507,185.5717427932105,1.0,21.0649825781409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000006,Barking and Dagenham,0.146536995719493,544.9334507922355,184.2964809088513,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000009,Barking and Dagenham,0.127959927472517,544.6016628035903,184.45654904130103,2.0,15.629893197849432,0,7.0,9.0,54.70462619247301,70.33451939032244,0.01297465067783123,0.10139620218695342,1.0
E01000022,Barking and Dagenham,0.12826299555045137,547.1516791091257,186.0381797654261,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000074,Barking and Dagenham,0.16412914731892558,547.1484403546843,185.12593263669984,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000084,Barking and Dagenham,0.1500264435521614,548.8662352698511,184.51017872946355,1.0,6.6654916048337745,0,6.0,42.0,39.992949629002645,279.95064740301854,0.004035264384856814,0.02689702088054782,1.0
E01000089,Barking and Dagenham,0.1453688506383481,549.951314310728,183.51849669985515,0.0,0.0,0,1.0,2.0,6.879052806765478,13.758105613530956,0.0,0.0,0.0
E01000097,Barking and Dagenham,0.17912428302931835,547.6702754867097,187.1288914689865,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000113,Barking and Dagenham,0.15391852091461997,547.9653022608488,187.8148668739783,1.0,6.496943928890204,0,5.0,24.0,32.48471964445102,155.9266542933649,0.01070715817922714,0.06956380632819685,1.0
E01034470,Barking and Dagenham,0.12323102265948814,548.4587048141334,187.01478387986813,1.0,8.114839740989565,0,2.0,8.0,16.22967948197913,64.91871792791652,0.0,0.0,0.0
E01034473,Barking and Dagenham,0.1409030615302727,544.4150187194001,184.13245003338207,14.0,99.35909019969826,0,10.0,66.0,70.97077871407018,468.40713951286324,0.1111135950458365,0.7885818366122868,1.0
E01034477,Barking and Dagenham,0.11895895193463121,546.4716709973238,182.3058080653348,3.0,25.218783044158975,0,2.0,30.0,16.812522029439315,252.18783044158974,0.0,0.0,0.0
E01000012,Barking and Dagenham,0.14377469757792516,543.9035430542876,184.7129304869898,2.0,13.910653499486655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000017,Barking and Dagenham,0.1583718570185779,548.9015426121119,185.56845771083405,1.0,6.314253168621332,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000024,Barking and Dagenham,0.12863521643006012,547.1347906292035,185.72165394148325,1.0,7.773920919577315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000038,Barking and Dagenham,0.2140457717738013,550.7240648276336,187.15634903830542,0.0,0.0,0,1.0,4.0,4.67189793899212,18.68759175596848,0.0,0.0,0.0
E01000040,Barking and Dagenham,0.17070813681865427,545.566920328299,184.0541298890761,1.0,5.857951581196827,0,8.0,44.0,46.86361264957461,257.7498695726604,0.0,0.0,0.0
E01000041,Barking and Dagenham,0.15263538952726538,546.8569931266403,184.2617915644895,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000043,Barking and Dagenham,0.26636493161609176,545.7506980657965,183.7551094607078,1.0,3.7542479557379824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000050,Barking and Dagenham,0.13765472704829865,544.7767075358162,183.79632755009652,1.0,7.2645525616358375,0,1.0,4.0,7.2645525616358375,29.05821024654335,0.0,0.0,0.0
E01000058,Barking and Dagenham,0.18218800324305165,548.2318752786377,184.46028768231295,1.0,5.488835610465138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000076,Barking and Dagenham,0.19055535637598567,547.1276341079595,184.61371387773437,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000081,Barking and Dagenham,0.18577225714983736,548.366629328439,185.64898935159172,1.0,5.3829350805240805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000082,Barking and Dagenham,0.16070601918100233,548.3684139684627,186.12223941495213,1.0,6.222542286195923,0,3.0,12.0,18.667626858587766,74.67050743435107,0.0,0.0,0.0
E01000085,Barking and Dagenham,0.14537881996231272,549.2321791437388,184.30495274627225,2.0,13.757162154146457,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
